times,flux,flux_err
3.225686400333814618e+03,9.995813369750976562e-01,8.555122102388499879e-04
3.225688715262114783e+03,9.995751380920410156e-01,8.555122102388499879e-04
3.225691030189949288e+03,9.996905922889709473e-01,8.555122102388499879e-04
3.225693345118249908e+03,9.994596838951110840e-01,8.555122102388499879e-04
3.225695660046084868e+03,9.985188245773315430e-01,8.555122102388499879e-04
3.225697974973919372e+03,9.987396001815795898e-01,8.555122102388499879e-04
3.225700289902219993e+03,1.000842452049255371e+00,8.555122102388499879e-04
3.225702604830054497e+03,9.995273947715759277e-01,8.555122102388499879e-04
3.225704919757889002e+03,9.991855025291442871e-01,8.555122102388499879e-04
3.225707234686189622e+03,9.992869496345520020e-01,8.555122102388499879e-04
3.225709549614023672e+03,1.000397801399230957e+00,8.555122102388499879e-04
3.225711864541858631e+03,9.995224475860595703e-01,8.555122102388499879e-04
3.225714179469693590e+03,1.000547528266906738e+00,8.555122102388499879e-04
3.225716494397528550e+03,9.995458722114562988e-01,8.555122102388499879e-04
3.225718809325363054e+03,9.996644854545593262e-01,8.555122102388499879e-04
3.225721124253197559e+03,9.991021752357482910e-01,8.555122102388499879e-04
3.225723439181032518e+03,9.996383190155029297e-01,8.555122102388499879e-04
3.225725754108867022e+03,9.988661408424377441e-01,8.555122102388499879e-04
3.225728069036701527e+03,1.000158548355102539e+00,8.555122102388499879e-04
3.225730383964536486e+03,1.001715540885925293e+00,8.555122102388499879e-04
3.225732698892370991e+03,1.000965952873229980e+00,8.555122102388499879e-04
3.225735013820205950e+03,1.000513553619384766e+00,8.555122102388499879e-04
3.225737328748039999e+03,1.000867724418640137e+00,8.555122102388499879e-04
3.225739643675875413e+03,9.997083544731140137e-01,8.555122102388499879e-04
3.225741958603709918e+03,1.000438213348388672e+00,8.555122102388499879e-04
3.225744273531544422e+03,9.991607069969177246e-01,8.555122102388499879e-04
3.225746588459379382e+03,9.998483061790466309e-01,8.555122102388499879e-04
3.225748903386748680e+03,1.000571250915527344e+00,8.555122102388499879e-04
3.225751218314583184e+03,9.991643428802490234e-01,8.555122102388499879e-04
3.225753533242417689e+03,1.000265121459960938e+00,8.555122102388499879e-04
3.225755848169786532e+03,9.994857311248779297e-01,8.555122102388499879e-04
3.225758163097621946e+03,1.000675916671752930e+00,8.555122102388499879e-04
3.225760478025456905e+03,9.999366402626037598e-01,8.555122102388499879e-04
3.225762792952826658e+03,1.000760793685913086e+00,8.555122102388499879e-04
3.225765107880661617e+03,9.996018409729003906e-01,8.555122102388499879e-04
3.225767422808030460e+03,1.000314116477966309e+00,8.555122102388499879e-04
3.225769737735864965e+03,9.985337257385253906e-01,8.555122102388499879e-04
3.225772052663233353e+03,9.997147917747497559e-01,8.555122102388499879e-04
3.225774367591068767e+03,1.000917077064514160e+00,8.555122102388499879e-04
3.225776682518437610e+03,1.000389695167541504e+00,8.555122102388499879e-04
3.225778997446272570e+03,9.999604225158691406e-01,8.555122102388499879e-04
3.225781312373641867e+03,1.000333070755004883e+00,8.555122102388499879e-04
3.225783627301476372e+03,1.000377058982849121e+00,8.555122102388499879e-04
3.225785942228845670e+03,1.001307725906372070e+00,8.555122102388499879e-04
3.225788257156214513e+03,9.995835423469543457e-01,8.555122102388499879e-04
3.225790572083582902e+03,9.996277689933776855e-01,8.555122102388499879e-04
3.225792887011417406e+03,1.000251293182373047e+00,8.555122102388499879e-04
3.225795201938787613e+03,1.000348329544067383e+00,8.555122102388499879e-04
3.225797516866156002e+03,1.000214576721191406e+00,8.555122102388499879e-04
3.225799831793525300e+03,9.996516108512878418e-01,8.555122102388499879e-04
3.225802146721359350e+03,9.999312162399291992e-01,8.555122102388499879e-04
3.225804461648728648e+03,9.994221329689025879e-01,8.555122102388499879e-04
3.225806776576097946e+03,1.000959038734436035e+00,8.555122102388499879e-04
3.225809091503466334e+03,1.000739336013793945e+00,8.555122102388499879e-04
3.225811406430836541e+03,9.996184110641479492e-01,8.555122102388499879e-04
3.225813721358204930e+03,9.994850754737854004e-01,8.555122102388499879e-04
3.225816036285574683e+03,1.000557184219360352e+00,8.555122102388499879e-04
3.225818351212943526e+03,9.999805688858032227e-01,8.555122102388499879e-04
3.225820666140311459e+03,9.997176527976989746e-01,8.555122102388499879e-04
3.225822981067681212e+03,1.001597166061401367e+00,8.555122102388499879e-04
3.225825295995050510e+03,1.000144839286804199e+00,8.555122102388499879e-04
3.225827610921954147e+03,1.000626802444458008e+00,8.555122102388499879e-04
3.225829925849322990e+03,9.997970461845397949e-01,8.555122102388499879e-04
3.225832240776691378e+03,1.000469207763671875e+00,8.555122102388499879e-04
3.225834555704060222e+03,9.995402097702026367e-01,8.555122102388499879e-04
3.225836870631429520e+03,1.000086665153503418e+00,8.555122102388499879e-04
3.225839185558333156e+03,1.000827193260192871e+00,8.555122102388499879e-04
3.225841500485702454e+03,9.988781809806823730e-01,8.555122102388499879e-04
3.225843815413071297e+03,1.001500129699707031e+00,8.555122102388499879e-04
3.225846130339974934e+03,1.000617980957031250e+00,8.555122102388499879e-04
3.225848445267343322e+03,1.000118374824523926e+00,8.555122102388499879e-04
3.225850760194712620e+03,9.999742507934570312e-01,8.555122102388499879e-04
3.225853075121615348e+03,1.000376105308532715e+00,8.555122102388499879e-04
3.225855390048985100e+03,9.991132020950317383e-01,8.555122102388499879e-04
3.225857704975888282e+03,1.000197529792785645e+00,8.555122102388499879e-04
3.225860019903258490e+03,9.995073080062866211e-01,8.555122102388499879e-04
3.225862334830162581e+03,1.000156760215759277e+00,8.555122102388499879e-04
3.225864649757531424e+03,1.000431895256042480e+00,8.555122102388499879e-04
3.225866964684435061e+03,1.000593423843383789e+00,8.555122102388499879e-04
3.225869279611803449e+03,9.990669488906860352e-01,8.555122102388499879e-04
3.225871594538707086e+03,1.000342011451721191e+00,8.555122102388499879e-04
3.225873909465610268e+03,9.996486306190490723e-01,8.555122102388499879e-04
3.225876224392980021e+03,9.993328452110290527e-01,8.555122102388499879e-04
3.225878539319883203e+03,9.994646906852722168e-01,8.555122102388499879e-04
3.225880854246786384e+03,1.000678777694702148e+00,8.555122102388499879e-04
3.225883169173690021e+03,9.989068508148193359e-01,8.555122102388499879e-04
3.225885484101058410e+03,1.000150322914123535e+00,8.555122102388499879e-04
3.225887799027962046e+03,1.000912547111511230e+00,8.555122102388499879e-04
3.225890113954865683e+03,1.000562667846679688e+00,8.555122102388499879e-04
3.225892428881768865e+03,1.000269770622253418e+00,8.555122102388499879e-04
3.225894743808672501e+03,1.001449346542358398e+00,8.555122102388499879e-04
3.225897058735575683e+03,1.000070691108703613e+00,8.555122102388499879e-04
3.225899373662478865e+03,9.988070726394653320e-01,8.555122102388499879e-04
