Planet 1,P_b (days),T0_b,ecc_b,omega_b (rad),K_b (m/s),Planet 2,P_c (days),T0_c,ecc_c,omega_c (rad),K_c (m/s),K_truth (m/s),K_fit (m/s),Result
TOI-2431 b,0.22419525187278672,2460258.8686306844,0,1.5707963267948966,12.944544229309024,TOI-2431 c,11.586732331878444,3.964600244554406,0,1.5707963267948966,41.777002674324464,12.944544229309024,13.209560039402055,Recovered
TOI-2431 b,0.22419615283578506,2460258.8685558955,0,1.5707963267948966,48.779182326915674,TOI-2431 c,93.25489263613501,22.803330532024454,0,1.5707963267948966,12.068992206180068,48.779182326915674,52.310089090401185,Not Recovered
TOI-2431 b,0.2241961876380892,2460258.868397585,0,1.5707963267948966,42.606306646428784,TOI-2431 c,65.78055518472343,-6.208157842840173,0,1.5707963267948966,29.613478934189892,42.606306646428784,43.225448276402126,Recovered
TOI-2431 b,0.22419569355295993,2460258.868734931,0,1.5707963267948966,15.002522836519821,TOI-2431 c,71.90597471707707,34.20786478988171,0,1.5707963267948966,11.9047600298903,15.002522836519821,12.922239273074752,Not Recovered
TOI-2431 b,0.22419589912918567,2460258.868448397,0,1.5707963267948966,31.006843439862948,TOI-2431 c,82.78514376716413,14.859427127775945,0,1.5707963267948966,4.206656658368091,31.006843439862948,30.276158227069633,Recovered
TOI-2431 b,0.22419585439045608,2460258.8683101023,0,1.5707963267948966,19.69447180494775,TOI-2431 c,37.81975040780544,1.933761340976318,0,1.5707963267948966,0.6541866998777457,19.69447180494775,21.97639193284483,Recovered
TOI-2431 b,0.22419649319527726,2460258.8682583803,0,1.5707963267948966,49.33459129040333,TOI-2431 c,90.62383781995514,11.375392429766592,0,1.5707963267948966,8.001110094600639,49.33459129040333,48.020609079875584,Recovered
TOI-2431 b,0.22419597550141782,2460258.868568639,0,1.5707963267948966,30.629229719591226,TOI-2431 c,63.060444130240505,7.492667378040931,0,1.5707963267948966,19.36162798988687,30.629229719591226,29.702634906396106,Recovered
TOI-2431 b,0.22419509235263202,2460258.8686209247,0,1.5707963267948966,15.408878768352979,TOI-2431 c,43.95492306929838,18.954013793837316,0,1.5707963267948966,7.066571298942842,15.408878768352979,18.554209731567585,Not Recovered
TOI-2431 b,0.22419589778254947,2460258.8682646817,0,1.5707963267948966,11.573971387067312,TOI-2431 c,50.581374561252005,11.786937292600136,0,1.5707963267948966,0.9315675722459893,11.573971387067312,10.2635722690782,Recovered
TOI-2431 b,0.2241961512139146,2460258.86836334,0,1.5707963267948966,28.429203741004887,TOI-2431 c,99.0333613277081,-0.682297896976003,0,1.5707963267948966,46.187460222184086,28.429203741004887,28.425491041961422,Recovered
TOI-2431 b,0.22419541143852936,2460258.868669516,0,1.5707963267948966,10.878922660802697,TOI-2431 c,51.50701576883954,-17.748443704688615,0,1.5707963267948966,31.893796620111836,10.878922660802697,10.277667850294526,Recovered
TOI-2431 b,0.22419612101429842,2460258.868338633,0,1.5707963267948966,18.13012454553111,TOI-2431 c,62.97551153631662,30.899645290064903,0,1.5707963267948966,40.82448361441609,18.13012454553111,19.028692561957076,Recovered
TOI-2431 b,0.22419555113154788,2460258.8685252992,0,1.5707963267948966,12.84275523997075,TOI-2431 c,73.35038515961155,21.479120442311263,0,1.5707963267948966,35.34538655135703,12.84275523997075,13.894911167978458,Recovered
TOI-2431 b,0.2241961901591714,2460258.868410319,0,1.5707963267948966,23.642586968107825,TOI-2431 c,85.82869608068624,41.78188268288961,0,1.5707963267948966,7.912930549974206,23.642586968107825,24.681781768161155,Recovered
TOI-2431 b,0.22419563247575947,2460258.8685809136,0,1.5707963267948966,15.981823994336564,TOI-2431 c,45.91449062817628,20.28265406532944,0,1.5707963267948966,32.46898992816562,15.981823994336564,15.520640523148892,Recovered
TOI-2431 b,0.2241953424634171,2460258.8684362564,0,1.5707963267948966,19.3785597068582,TOI-2431 c,3.337972979491603,1.410214688603852,0,1.5707963267948966,7.668487928309364,19.3785597068582,21.010834146679485,Not Recovered
TOI-2431 b,0.22419567361781836,2460258.86859105,0,1.5707963267948966,26.9991277469427,TOI-2431 c,75.91839164705628,18.329805095159045,0,1.5707963267948966,38.17588123638554,26.9991277469427,28.072148031727057,Recovered
TOI-2431 b,0.22419616051005697,2460258.868359719,0,1.5707963267948966,39.12041986390252,TOI-2431 c,32.74730181140299,-11.511000677623912,0,1.5707963267948966,20.861381427881376,39.12041986390252,37.85464558555154,Recovered
TOI-2431 b,0.22419615197296328,2460258.8685985464,0,1.5707963267948966,49.3499385863357,TOI-2431 c,17.266188513088974,5.996208918412577,0,1.5707963267948966,39.818480030314845,49.3499385863357,48.01904404426708,Recovered
TOI-2431 b,0.22419567516833674,2460258.8685892764,0,1.5707963267948966,10.38664652150959,TOI-2431 c,34.59860796046427,3.2725966469937546,0,1.5707963267948966,15.63897310133976,10.38664652150959,12.577865484458284,Not Recovered
TOI-2431 b,0.22419604847181923,2460258.8687122473,0,1.5707963267948966,10.578864435038366,TOI-2431 c,44.76347640884635,-3.86107950381772,0,1.5707963267948966,6.041408865841874,10.578864435038366,9.704929506114828,Recovered
TOI-2431 b,0.22419573342363935,2460258.868854755,0,1.5707963267948966,39.18924483995734,TOI-2431 c,39.2586286013336,-14.830499241139695,0,1.5707963267948966,24.235471496283047,39.18924483995734,38.247734440390275,Recovered
TOI-2431 b,0.22419607097509453,2460258.868458179,0,1.5707963267948966,18.96613723848583,TOI-2431 c,17.622314632511884,-6.453228165680625,0,1.5707963267948966,36.07330253874766,18.96613723848583,18.456922777844827,Recovered
TOI-2431 b,0.22419591363617436,2460258.8685030476,0,1.5707963267948966,26.075099248350174,TOI-2431 c,2.0393144068956524,0.1741348644263525,0,1.5707963267948966,27.665855552460332,26.075099248350174,28.254406231484044,Not Recovered
TOI-2431 b,0.22419562979958835,2460258.868524141,0,1.5707963267948966,11.835650018190396,TOI-2431 c,21.677692679198884,4.073565571752431,0,1.5707963267948966,22.326633553425722,11.835650018190396,11.071325379568673,Recovered
TOI-2431 b,0.2241960461462649,2460258.8683654736,0,1.5707963267948966,16.944468706058586,TOI-2431 c,50.843182714785506,-2.4897632642051732,0,1.5707963267948966,3.3912546509789143,16.944468706058586,15.236596969688806,Not Recovered
TOI-2431 b,0.22419608511072944,2460258.8684514463,0,1.5707963267948966,36.216539957813424,TOI-2431 c,95.91519619765903,17.211192596712912,0,1.5707963267948966,22.78586703557658,36.216539957813424,35.20618477581575,Recovered
