Planet 1,P_b (days),T0_b,ecc_b,omega_b (rad),K_b (m/s),Planet 2,P_c (days),T0_c,ecc_c,omega_c (rad),K_c (m/s),K_truth (m/s),K_fit (m/s),K_fit Lower Error,K_fit Upper Error,Result
TOI-2431 b,0.2241957012070001,2460258.8683779226,0,1.5707963267948966,11.712303502772777,TOI-2431 c,21.620692382116967,-7.300313182592326,0,1.5707963267948966,42.24981619356154,11.712303502772777,10.991659668719242,1.6457732268010794,1.6215426328630027,Recovered
TOI-2431 b,0.2241953771950819,2460258.8685574317,0,1.5707963267948966,4.840622848372128,TOI-2431 c,39.30375897540026,-5.201849701934416,0,1.5707963267948966,22.82604782563854,4.840622848372128,4.582387677686946,1.7376705917362116,1.831707546458124,Recovered
TOI-2431 b,0.2241951030155551,2460258.868293654,0,1.5707963267948966,8.957937124988208,TOI-2431 c,48.39722735254068,4.535463016817815,0,1.5707963267948966,29.46822738041367,8.957937124988208,8.408529065346393,2.25306579620982,2.0198074309363854,Recovered
TOI-2431 b,0.2241962363162706,2460258.8686156217,0,1.5707963267948966,9.255484996084425,TOI-2431 c,45.63651320815543,-5.300459515276764,0,1.5707963267948966,44.54326975695165,9.255484996084425,12.150530077006923,1.68964327289504,1.6604344298233276,Recovered
TOI-2431 b,0.2241963314057462,2460258.86863848,0,1.5707963267948966,23.919378540280174,TOI-2431 c,54.44725653042297,-4.173223472446935,0,1.5707963267948966,13.083385321317705,23.919378540280174,25.537136678713026,1.8766684754003968,1.8026411968305744,Recovered
TOI-2431 b,0.224195864002575,2460258.8685720074,0,1.5707963267948966,9.769963739493416,TOI-2431 c,77.75484961415599,-19.2015009985115,0,1.5707963267948966,2.158701019725517,9.769963739493416,13.5244530588941,1.6501010131260454,1.7298185357732994,Recovered
TOI-2431 b,0.2241949281728025,2460258.868577556,0,1.5707963267948966,14.791715382822728,TOI-2431 c,50.00474083663147,13.76510556894727,0,1.5707963267948966,44.99199474039079,14.791715382822728,14.536190285600023,1.7257057056553844,1.7253084672946637,Recovered
TOI-2431 b,0.2241961706611751,2460258.868701293,0,1.5707963267948966,17.73352524612717,TOI-2431 c,65.28629839117515,-23.611089190863765,0,1.5707963267948966,37.029104761679285,17.73352524612717,19.579263890099732,1.6531984921176637,1.6770932411437478,Recovered
TOI-2431 b,0.2241954202685221,2460258.8684375687,0,1.5707963267948966,40.23080572261385,TOI-2431 c,60.47775660574694,-2.047147185806935,0,1.5707963267948966,0.0818890197047061,40.23080572261385,41.850064336151256,1.8021052905418529,1.6870394099538046,Recovered
TOI-2431 b,0.224195906518227,2460258.8685238003,0,1.5707963267948966,25.15147568629608,TOI-2431 c,37.80850636608264,-11.355665535167027,0,1.5707963267948966,31.802966975175107,25.15147568629608,27.597286964238084,1.7238929977730244,1.715187413066943,Recovered
TOI-2431 b,0.2241949887697618,2460258.8682726505,0,1.5707963267948966,11.867338036252711,TOI-2431 c,50.216081048639474,2.2273620151730604,0,1.5707963267948966,32.165842849692986,11.867338036252711,11.61063582527189,1.6455274794475905,1.6928579826117218,Recovered
TOI-2431 b,0.2241955846257559,2460258.868425537,0,1.5707963267948966,24.040039480748504,TOI-2431 c,20.307897233229543,8.003519914419675,0,1.5707963267948966,39.82030813990133,24.040039480748504,22.338408696751145,1.8545241329781312,1.6908295978574266,Recovered
